id,Название обьекта,Адрес,Регион,Срок сдачи,Кол-во квартир,Максимум этажей,Минимум этажей,Отделка,Грузоподъемность лифтов,Наличие парковки,Наличие велодорожки,Наличие детской площадки,Наличие спортивной площадки,Застройщик,Email застройщика,Тел. застройщика
41421,,"г Новосибирск, пер Серебряный, строение 2",54,2023-03-31,8,4,4,,0.0,0,0,0.0,0.0,АВАЛОН,bl_nsk@mail.ru,+7(383)349-90-65
30292,,"г Казань, район Приволжский, улица Карбышева, д. 12А",16,2023-03-31,372,26,26,,3.0,420,0,3.0,2.0,АВАЛОН СИТИ,avaloncity@mail.ru,+7(905)315-00-82
19457,"""Авеню""","г Сертолово, Микрорайон Сертолово-1, улица Ларина",47,2023-03-31,166,17,16,,3.0,96,0,1.0,1.0,АВЕНЮ,office@sertolovo-avenue.ru,+7(812)403-09-90
24139,"ЖК ""Опалиха Парк""","г Красногорск, мкр. Опалиха",50,2021-09-30,224,8,8,,,0,0,,,АВЕСТ,info@ukrp.ru,+7(495)540-50-92
24142,"ЖК ""Опалиха Парк""","г Красногорск, мкр. Опалиха",50,2021-09-30,158,8,5,,,0,0,,,АВЕСТ,info@ukrp.ru,+7(495)540-50-92
18709,"Жилой комплекс ""Новое Лыткарино""","г Лыткарино, Микрорайон 6-й, корпус 3",50,2023-09-30,272,18,18,,2.0,30,0,3.0,1.0,АВИГРАН,ukms-project.ru@inbox.ru,+7(495)988-29-29
18708,"Жилой комплекс ""Новое Лыткарино""","г Лыткарино, Микрорайон 6-й, корпус 4",50,2023-09-30,272,17,17,,2.0,0,0,3.0,1.0,АВИГРАН,ukms-project.ru@inbox.ru,+7(495)988-29-29
21535,«Молодежный»,"г Тула, д. 20",71,2022-12-31,35,6,6,,1.0,0,0,2.0,1.0,АВРОРА-ГРИНН,info@avrora-green.ru,+7(487)270-04-00
21536,«Молодежный»,"г Тула, д. 19",71,2022-12-31,35,6,6,,1.0,0,0,2.0,1.0,АВРОРА-ГРИНН,info@avrora-green.ru,+7(487)270-04-00
21537,«Молодежный»,"г Тула, д. 21",71,2022-12-31,35,6,6,,1.0,0,0,2.0,1.0,АВРОРА-ГРИНН,info@avrora-green.ru,+7(487)270-04-00
49294,,"г Кострома, улица Радиозаводская, д. 54",44,2023-12-31,32,3,3,,0.0,0,0,1.0,1.0,АВТОПРЕМИУМ,info@kfk1.ru,+7(494)244-04-40
42192,"Жилой комплекс ""Андреевский""","г Кстово, улица Сутырина",52,2022-12-31,168,14,1,,2.0,0,0,0.0,0.0,АВТОТЕХНИКА,AvtotexnikaNN@yandex.ru,+7(950)627-17-82
27542,Многоквартирный жилой дом с нежилыми помещениями,"г Рязань, улица Горького",62,2023-09-30,32,4,4,,2.0,37,0,1.0,0.0,АДАМАНТ,gorod.ryazan@mail.ru,+7(491)224-01-50
20524,"ЖК ""Невский"", корпус 6","г Москва, улица Адмирала Макарова, корпус 6, вл. 6",77,2023-06-30,396,34,34,,2.0,0,0,1.0,1.0,АДМ,info@krost.ru,+7(495)725-80-93
24093,,"г Орёл, улица Панчука, д. 83",57,2022-12-31,349,17,17,,,0,0,,,АГЕНТСТВО ИПОТЕЧНОГО ЖИЛИЩНОГО КРЕДИТОВАНИЯ ОРЛОВСКОЙ ОБЛАСТИ,544955@ipoteka.orl.ru,+7(486)254-49-55
27802,"Коттеджный поселок ""Горки Академпарка""",с/с Барышевский,54,2024-03-31,12,3,3,,0.0,0,0,0.0,0.0,ТЕХНОПАРК НОВОСИБИРСКОГО АКАДЕМГОРОДКА,info@academpark.com,+7(383)344-93-13
27798,"Коттеджный поселок ""Горки Академпарка""",с/с Барышевский,54,2024-03-31,12,3,3,,0.0,0,0,0.0,0.0,ТЕХНОПАРК НОВОСИБИРСКОГО АКАДЕМГОРОДКА,info@academpark.com,+7(383)344-93-13
27801,"Коттеджный поселок ""Горки Академпарка""",с/с Барышевский,54,2024-03-31,12,3,3,,0.0,0,0,0.0,0.0,ТЕХНОПАРК НОВОСИБИРСКОГО АКАДЕМГОРОДКА,info@academpark.com,+7(383)344-93-13
27803,"Коттеджный поселок ""Горки Академпарка""",с/с Барышевский,54,2024-03-31,12,3,3,,0.0,0,0,0.0,0.0,ТЕХНОПАРК НОВОСИБИРСКОГО АКАДЕМГОРОДКА,info@academpark.com,+7(383)344-93-13
27808,"Коттеджный поселок ""Горки Академпарка""",с/с Барышевский,54,2022-12-31,12,3,3,,0.0,0,0,0.0,0.0,ТЕХНОПАРК НОВОСИБИРСКОГО АКАДЕМГОРОДКА,info@academpark.com,+7(383)344-93-13
23863,"Коттеджный поселок ""Горки Академпарка""",с/с Барышевский,54,2024-03-31,12,3,3,,0.0,0,0,0.0,0.0,ТЕХНОПАРК НОВОСИБИРСКОГО АКАДЕМГОРОДКА,info@academpark.com,+7(383)344-93-13
23864,"Коттеджный поселок ""Горки Академпарка""",с/с Барышевский,54,2024-03-31,12,3,3,,0.0,0,0,0.0,0.0,ТЕХНОПАРК НОВОСИБИРСКОГО АКАДЕМГОРОДКА,info@academpark.com,+7(383)344-93-13
23862,"Коттеджный поселок ""Горки Академпарка""","с/с Барышевский, д. 56/148 (внутренний)",54,2024-03-31,6,3,3,,0.0,0,0,0.0,0.0,ТЕХНОПАРК НОВОСИБИРСКОГО АКАДЕМГОРОДКА,info@academpark.com,+7(383)344-93-13
27806,"Коттеджный поселок ""Горки Академпарка""",с/с Барышевский,54,2022-12-31,12,3,3,,0.0,0,0,0.0,0.0,ТЕХНОПАРК НОВОСИБИРСКОГО АКАДЕМГОРОДКА,info@academpark.com,+7(383)344-93-13
21720,Многофункциональный комплекс AQUATORIA (корпус B3),"г Москва, район Левобережный, шоссе Ленинградское, вл. 69",77,2023-06-30,204,22,22,,3.0,36,0,0.0,0.0,АКВАТОРИЯ,hello@aquatoria.com,+7(495)782-22-36
45249,Многофункциональный комплекс AQUATORIA (корпуса A1 A2),"г Москва, район Левобережный, ш Ленинградское, вл. 69",77,2025-09-30,0,23,2,,0.0,389,1,0.0,0.0,АКВАТОРИЯ,hello@aquatoria.com,+7(495)782-22-36
33899,,"г Новосибирск, улица Лескова, д. 30, блок-секция б",54,2022-12-31,192,27,2,,1.0,0,0,1.0,1.0,АКД-МЕТА,m.petrov@akd54.ru,+7(383)239-10-01
33745,,"г Барнаул, ул Власихинская, д. 156А",22,2023-03-31,0,5,5,,0.0,0,0,0.0,0.0,АЛТПРОМСНАБ,JUR@SFO-NAL.RU,+7 (385) 250-08-99
44621,Жилой комплекс Чернышевский,"г Новосибирск, ул Фабричная, блок-секция 2.3",54,2024-12-31,208,24,24,,4.0,0,0,1.0,1.0,АЛЬГЕБА,2174422@mail.ru,+7(383)217-44-22
47610,Жилой комплекс на Горького,г Новосибирск,54,2024-12-31,129,30,30,,4.0,127,0,1.0,1.0,АЛЬГЕБА,2174422@mail.ru,+7(383)217-44-22
46571,"Жилой комплекс ""Чернышевский""","г Новосибирск, ул Фабричная",54,2024-12-31,198,24,24,,3.0,18,0,1.0,1.0,АЛЬГЕБА,2174422@mail.ru,+7(383)217-44-22
48595,"Жилой комплекс ""Чернышевский""","г Новосибирск, ул Фабричная",54,2024-12-31,276,30,30,,4.0,55,0,1.0,1.0,АЛЬГЕБА,2174422@mail.ru,+7(383)217-44-22
15888,"ЖИЛОЙ КВАРТАЛ ""КРАСКИ"" ЛИТЕР 2","г Краснодар, улица Им. краеведа Соловьёва В.А, д. 6, литера 2",23,2022-09-30,220,9,9,,3.0,0,0,1.0,1.0,АЛЬКАСАР,alkasar.2015@yandex.ru,+7(861)298-98-98
15886,"ЖИЛОЙ КВАРТАЛ ""КРАСКИ"" ЛИТЕР 5","г Краснодар, улица Им. краеведа Соловьёва В.А, д. 6, литера 5",23,2023-06-30,257,9,9,,4.0,0,0,1.0,1.0,АЛЬКАСАР,alkasar.2015@yandex.ru,+7(861)298-98-98
15885,"ЖИЛОЙ КВАРТАЛ ""КРАСКИ"" ЛИТЕР 4","г Краснодар, улица Им. краеведа Соловьёва В.А, д. 6, литера 4",23,2022-09-30,250,9,9,,4.0,0,0,1.0,1.0,АЛЬКАСАР,alkasar.2015@yandex.ru,+7(861)298-98-98
15890,"ЖИЛОЙ КВАРТАЛ ""КРАСКИ"" ЛИТЕР 7","г Краснодар, улица Им. краеведа Соловьёва В.А, д. 6, литера 7",23,2022-09-30,257,9,9,,4.0,0,0,1.0,1.0,АЛЬКАСАР,alkasar.2015@yandex.ru,+7(861)298-98-98
15891,"ЖИЛОЙ КВАРТАЛ ""КРАСКИ"" ЛИТЕР 8","г Краснодар, улица Им. краеведа Соловьёва В.А, д. 6, литера 8",23,2022-12-31,250,9,9,,4.0,0,0,1.0,1.0,АЛЬКАСАР,alkasar.2015@yandex.ru,+7(861)298-98-98
15889,"ЖИЛОЙ КВАРТАЛ ""КРАСКИ"" ЛИТЕР 6","г Краснодар, улица Им. краеведа Соловьёва В.А, д. 6, литера 6",23,2024-12-31,220,9,9,,3.0,0,0,1.0,1.0,АЛЬКАСАР,alkasar.2015@yandex.ru,+7(861)298-98-98
35324,,"г Сочи, Краевско-Греческая, вл. Уч.1,2",23,2022-12-31,114,17,17,,1.0,0,0,0.0,0.0,АЛЬПИК,alpik.sochi@gmail.com,+7 (862) 226-15-97
41618,"ЖК ""СМОРОДИНА""","г Краснодар, Район п. Знаменский и п. Зеленопольский, литера 7",23,2024-03-31,360,14,14,,3.0,0,0,3.0,3.0,АЛЬФА,elreg@ask-yug.com,+7(800)222-10-10
41616,"ЖК ""СМОРОДИНА""","г Краснодар, Район п. Знаменский и п. Зеленопольский, литера 5",23,2023-03-31,320,17,17,,2.0,0,0,3.0,3.0,АЛЬФА,elreg@ask-yug.com,+7(800)222-10-10
41613,"ЖК ""СМОРОДИНА""","г Краснодар, Район п. Знаменский и п. Зеленопольский, литера 2",23,2023-12-31,300,17,17,,2.0,0,0,3.0,3.0,АЛЬФА,elreg@ask-yug.com,+7(800)222-10-10
41615,"ЖК ""СМОРОДИНА""","г Краснодар, Район п. Знаменский и п. Зеленопольский, литера 4",23,2023-12-31,160,17,17,,1.0,0,0,3.0,3.0,АЛЬФА,elreg@ask-yug.com,+7(800)222-10-10
41612,"ЖК ""СМОРОДИНА""","г Краснодар, Район п. Знаменский и п. Зеленопольский, литера 1",23,2023-03-31,300,17,17,,2.0,0,0,3.0,3.0,АЛЬФА,elreg@ask-yug.com,+7(800)222-10-10
45256,"""Семейный квартал Петра и Февронии на Солотчинском шоссе 3-я очередь строительства""(2 этап строительства)","г Рязань, Кальное (Советский район)",62,2023-12-31,398,28,21,,5.0,0,0,1.0,1.0,АЛЬФА,alfa62-str@mail.ru,+7(961)012-83-23
41614,"ЖК ""СМОРОДИНА""","г Краснодар, Район п. Знаменский и п. Зеленопольский, литера 3",23,2023-12-31,192,17,17,,3.0,0,0,3.0,3.0,АЛЬФА,elreg@ask-yug.com,+7(800)222-10-10
41619,"ЖК ""СМОРОДИНА""","г Краснодар, Район п. Знаменский и п. Зеленопольский, литера 8",23,2024-03-31,120,14,14,,1.0,0,0,3.0,3.0,АЛЬФА,elreg@ask-yug.com,+7(800)222-10-10
41617,"ЖК ""СМОРОДИНА""","г Краснодар, Район п. Знаменский и п. Зеленопольский, литера 6",23,2023-03-31,0,2,2,,0.0,0,0,3.0,3.0,АЛЬФА,elreg@ask-yug.com,+7(800)222-10-10
41620,"ЖК ""СМОРОДИНА""","г Краснодар, Район п. Знаменский и п. Зеленопольский, литера 9",23,2024-03-31,96,14,14,,2.0,0,0,3.0,3.0,АЛЬФА,elreg@ask-yug.com,+7(800)222-10-10
41621,"ЖК ""СМОРОДИНА""","г Краснодар, Район п. Знаменский и п. Зеленопольский, литера 10",23,2024-03-31,64,17,17,,1.0,0,0,3.0,3.0,АЛЬФА,elreg@ask-yug.com,+7(800)222-10-10
45772,,г Сосновый Бор,47,2024-03-31,0,10,10,,1.0,0,0,0.0,0.0,АЛЬФАСТРОЙИНВЕСТ,info@alfastroyinvest.ru,+7(921)930-52-10
18136,,"г Самара, улица Советской Армии, д. 0, корпус 0, строение 0",63,2023-06-30,360,27,27,,4.0,153,0,1.0,1.0,АЛЬЯНС,oooalyans63@gmail.com,+7(846)203-03-47
49316,,"г Зеленоградск, ул Солнечная, литера 1",39,2025-03-31,80,7,7,,2.0,0,0,1.0,1.0,АЛЬЯНС-БРИЛЛ,rabota201013@mail.ru,+7(401)255-55-22
37465,Берлин,"г Новосибирск, улица Кавалерийская",54,2023-12-31,159,17,17,,7.0,135,1,1.0,3.0,АНВ,anvnsk@inbox.ru,+7(383)299-57-17
33525,,"г Омск, улица Маршала Жукова - Бульварная, д. 154, корпус 1",55,2022-12-31,0,17,12,,3.0,0,0,0.0,0.0,АПАРТ ОТЕЛЬ МАРШАЛ,apartotelmarshal@yandex.ru,+7(913)611-06-67
33165,"Березовый квартал, дом 71","д Зверево, д. 71",77,2022-12-31,60,3,3,,0.0,0,0,0.0,1.0,АПРЕЛЕВКА С2,info@bg.msk.ru,+7 (495) 023-11-11
33187,"Рябиновый квартал, дом 93","д Зверево, д. 93",77,2022-12-31,24,3,3,,0.0,0,0,0.0,0.0,АПРЕЛЕВКА С2,info@bg.msk.ru,+7 (495) 023-11-11
33192,"Рябиновый квартал, дом 98","д Зверево, д. 98",77,2022-12-31,39,3,3,,0.0,0,0,1.0,0.0,АПРЕЛЕВКА С2,info@bg.msk.ru,+7 (495) 023-11-11
33138,"Сиреневый квартал, дом 44","д Зверево, д. 44",77,2023-12-31,75,3,3,,0.0,0,0,1.0,0.0,АПРЕЛЕВКА С2,info@bg.msk.ru,+7 (495) 023-11-11
33160,"Березовый квартал, дом 66","д Зверево, д. 66",77,2024-12-31,23,3,3,,0.0,0,0,0.0,0.0,АПРЕЛЕВКА С2,info@bg.msk.ru,+7 (495) 023-11-11
33223,"Рябиновый квартал, дом 129","д Зверево, д. 129",77,2022-12-31,30,3,3,,0.0,0,0,0.0,0.0,АПРЕЛЕВКА С2,info@bg.msk.ru,+7 (495) 023-11-11
33205,"Рябиновый квартал, дом 111","д Зверево, д. 111",77,2022-12-31,39,3,3,,0.0,0,0,0.0,0.0,АПРЕЛЕВКА С2,info@bg.msk.ru,+7 (495) 023-11-11
33107,"Сиреневый квартал, дом 13","д Зверево, д. 13",77,2022-12-31,39,3,3,,0.0,0,0,1.0,0.0,АПРЕЛЕВКА С2,info@bg.msk.ru,+7 (495) 023-11-11
33182,"Рябиновый квартал, дом 88","д Зверево, д. 88",77,2022-12-31,18,3,3,,0.0,0,0,0.0,0.0,АПРЕЛЕВКА С2,info@bg.msk.ru,+7 (495) 023-11-11
33171,"Березовый квартал, дом 77","д Зверево, д. 77",77,2022-12-31,51,3,3,,0.0,0,0,1.0,0.0,АПРЕЛЕВКА С2,info@bg.msk.ru,+7 (495) 023-11-11
33236,,"д Зверево, д. Школа",77,2025-12-31,0,3,3,,0.0,0,0,0.0,0.0,АПРЕЛЕВКА С2,info@bg.msk.ru,+7 (495) 023-11-11
33204,"Рябиновый квартал, дом 110","д Зверево, д. 110",77,2022-12-31,18,3,3,,0.0,0,0,1.0,0.0,АПРЕЛЕВКА С2,info@bg.msk.ru,+7 (495) 023-11-11
33184,"Рябиновый квартал, дом 90","д Зверево, д. 90",77,2022-12-31,99,3,3,,0.0,0,0,0.0,0.0,АПРЕЛЕВКА С2,info@bg.msk.ru,+7 (495) 023-11-11
33157,"Березовый квартал, дом 63","д Зверево, д. 63",77,2024-09-30,48,3,3,,0.0,0,0,0.0,0.0,АПРЕЛЕВКА С2,info@bg.msk.ru,+7 (495) 023-11-11
33225,"Рябиновый квартал, дом 131","д Зверево, д. 131",77,2022-12-31,30,3,3,,0.0,0,0,0.0,0.0,АПРЕЛЕВКА С2,info@bg.msk.ru,+7 (495) 023-11-11
33226,"Рябиновый квартал, дом 132","д Зверево, д. 132",77,2022-12-31,23,3,3,,0.0,0,0,0.0,0.0,АПРЕЛЕВКА С2,info@bg.msk.ru,+7 (495) 023-11-11
33206,"Рябиновый квартал, дом 112","д Зверево, д. 112",77,2022-12-31,39,3,3,,0.0,0,0,0.0,0.0,АПРЕЛЕВКА С2,info@bg.msk.ru,+7 (495) 023-11-11
33222,"Рябиновый квартал, дом 128","д Зверево, д. 128",77,2022-12-31,30,3,3,,0.0,0,0,0.0,0.0,АПРЕЛЕВКА С2,info@bg.msk.ru,+7 (495) 023-11-11
33137,"Сиреневый квартал, дом 43","д Зверево, д. 43",77,2023-12-31,102,3,3,,0.0,0,0,1.0,0.0,АПРЕЛЕВКА С2,info@bg.msk.ru,+7 (495) 023-11-11
33143,"Березовый квартал, дом 49","д Зверево, д. 49",77,2024-03-31,78,3,3,,0.0,0,0,0.0,0.0,АПРЕЛЕВКА С2,info@bg.msk.ru,+7 (495) 023-11-11
33216,"Рябиновый квартал, дом 122","д Зверево, д. 122",77,2022-12-31,39,3,3,,0.0,0,0,0.0,0.0,АПРЕЛЕВКА С2,info@bg.msk.ru,+7 (495) 023-11-11
33219,"Рябиновый квартал, дом 125","д Зверево, д. 125",77,2022-12-31,99,3,3,,0.0,0,0,0.0,0.0,АПРЕЛЕВКА С2,info@bg.msk.ru,+7 (495) 023-11-11
33199,"Рябиновый квартал, дом 105","д Зверево, д. 105",77,2022-12-31,39,3,3,,0.0,0,0,0.0,0.0,АПРЕЛЕВКА С2,info@bg.msk.ru,+7 (495) 023-11-11
33144,"Березовый квартал, дом 50","д Зверево, д. 50",77,2024-03-31,23,3,3,,0.0,0,0,1.0,0.0,АПРЕЛЕВКА С2,info@bg.msk.ru,+7 (495) 023-11-11
33149,"Березовый квартал, дом 60","д Зверево, д. 55",77,2025-12-31,39,3,3,,0.0,0,0,0.0,0.0,АПРЕЛЕВКА С2,info@bg.msk.ru,+7 (495) 023-11-11
33172,"Березовый квартал, дом 78","д Зверево, д. 78",77,2022-12-31,99,3,3,,0.0,0,0,0.0,0.0,АПРЕЛЕВКА С2,info@bg.msk.ru,+7 (495) 023-11-11
33180,"Рябиновый квартал, дом 86","д Зверево, д. 86",77,2022-12-31,18,3,3,,0.0,0,0,0.0,0.0,АПРЕЛЕВКА С2,info@bg.msk.ru,+7 (495) 023-11-11
33213,"Рябиновый квартал, дом 119","д Зверево, д. 119",77,2022-12-31,39,3,3,,0.0,0,0,0.0,0.0,АПРЕЛЕВКА С2,info@bg.msk.ru,+7 (495) 023-11-11
33158,"Березовый квартал, дом 64","д Зверево, д. 64",77,2024-09-30,51,3,3,,0.0,0,0,0.0,0.0,АПРЕЛЕВКА С2,info@bg.msk.ru,+7 (495) 023-11-11
33228,"Рябиновый квартал, дом 134","д Зверево, д. 134",77,2022-12-31,23,3,3,,0.0,0,0,0.0,0.0,АПРЕЛЕВКА С2,info@bg.msk.ru,+7 (495) 023-11-11
33178,"Рябиновый квартал, дом 84","д Зверево, д. 84",77,2022-12-31,18,3,3,,0.0,0,0,0.0,0.0,АПРЕЛЕВКА С2,info@bg.msk.ru,+7 (495) 023-11-11
33212,"Рябиновый квартал, дом 118","д Зверево, д. 118",77,2022-12-31,39,3,3,,0.0,0,0,0.0,0.0,АПРЕЛЕВКА С2,info@bg.msk.ru,+7 (495) 023-11-11
33141,"Сиреневый квартал, дом 47","д Зверево, д. 47",77,2022-12-31,30,3,3,,0.0,0,0,0.0,0.0,АПРЕЛЕВКА С2,info@bg.msk.ru,+7 (495) 023-11-11
33134,"Сиреневый квартал, дом 40","д Зверево, д. 40",77,2023-09-30,75,3,3,,0.0,0,0,0.0,0.0,АПРЕЛЕВКА С2,info@bg.msk.ru,+7 (495) 023-11-11
33163,"Березовый квартал, дом 69","д Зверево, д. 69",77,2022-12-31,51,3,3,,0.0,0,0,1.0,0.0,АПРЕЛЕВКА С2,info@bg.msk.ru,+7 (495) 023-11-11
33215,"Рябиновый квартал, дом 121","д Зверево, д. 121",77,2022-12-31,51,3,3,,0.0,0,0,1.0,0.0,АПРЕЛЕВКА С2,info@bg.msk.ru,+7 (495) 023-11-11
33145,"Березовый квартал, дом 51","д Зверево, д. 51",77,2024-06-30,78,3,3,,0.0,0,0,0.0,0.0,АПРЕЛЕВКА С2,info@bg.msk.ru,+7 (495) 023-11-11
33188,"Рябиновый квартал, дом 94","д Зверево, д. 94",77,2022-12-31,23,3,3,,0.0,0,0,0.0,0.0,АПРЕЛЕВКА С2,info@bg.msk.ru,+7 (495) 023-11-11
33203,"Рябиновый квартал, дом 109","д Зверево, д. 109",77,2022-12-31,21,3,3,,0.0,0,0,0.0,0.0,АПРЕЛЕВКА С2,info@bg.msk.ru,+7 (495) 023-11-11
33151,"Березовый квартал, дом 57","д Зверево, д. 57",77,2024-06-30,75,3,3,,0.0,0,0,1.0,0.0,АПРЕЛЕВКА С2,info@bg.msk.ru,+7 (495) 023-11-11
33161,"Березовый квартал, дом 67","д Зверево, д. 67",77,2024-12-31,51,3,3,,0.0,0,0,0.0,0.0,АПРЕЛЕВКА С2,info@bg.msk.ru,+7 (495) 023-11-11
33169,"Березовый квартал, дом 75","д Зверево, д. 75",77,2022-12-31,18,3,3,,0.0,0,0,0.0,0.0,АПРЕЛЕВКА С2,info@bg.msk.ru,+7 (495) 023-11-11
33176,"Березовый квартал, дом 82","д Зверево, д. 82",77,2022-12-31,51,3,3,,0.0,0,0,0.0,0.0,АПРЕЛЕВКА С2,info@bg.msk.ru,+7 (495) 023-11-11
33181,"Рябиновый квартал, дом 87","д Зверево, д. 87",77,2022-12-31,18,3,3,,0.0,0,0,0.0,0.0,АПРЕЛЕВКА С2,info@bg.msk.ru,+7 (495) 023-11-11
33179,"Рябиновый квартал, дом 85","д Зверево, д. 85",77,2022-12-31,18,3,3,,0.0,0,0,0.0,0.0,АПРЕЛЕВКА С2,info@bg.msk.ru,+7 (495) 023-11-11
33197,"Рябиновый квартал, дом 103","д Зверево, д. 103",77,2022-12-31,78,3,3,,0.0,0,0,0.0,0.0,АПРЕЛЕВКА С2,info@bg.msk.ru,+7 (495) 023-11-11
33214,"Рябиновый квартал, дом 120","д Зверево, д. 120",77,2022-12-31,51,3,3,,0.0,0,0,0.0,0.0,АПРЕЛЕВКА С2,info@bg.msk.ru,+7 (495) 023-11-11
33221,"Рябиновый квартал, дом 127","д Зверево, д. 127",77,2022-12-31,30,3,3,,0.0,0,0,0.0,0.0,АПРЕЛЕВКА С2,info@bg.msk.ru,+7 (495) 023-11-11
33183,"Рябиновый квартал, дом 89","д Зверево, д. 89",77,2022-12-31,18,3,3,,0.0,0,0,0.0,0.0,АПРЕЛЕВКА С2,info@bg.msk.ru,+7 (495) 023-11-11
33155,"Березовый квартал, дом 61","д Зверево, д. 61",77,2024-09-30,60,3,3,,0.0,0,0,0.0,0.0,АПРЕЛЕВКА С2,info@bg.msk.ru,+7 (495) 023-11-11
33224,"Рябиновый квартал, дом 130","д Зверево, д. 130",77,2022-12-31,30,3,3,,0.0,0,0,0.0,0.0,АПРЕЛЕВКА С2,info@bg.msk.ru,+7 (495) 023-11-11
33195,"Рябиновый квартал, дом 101","д Зверево, д. 101",77,2022-12-31,39,3,3,,0.0,0,0,0.0,0.0,АПРЕЛЕВКА С2,info@bg.msk.ru,+7 (495) 023-11-11
33211,"Рябиновый квартал, дом 117","д Зверево, д. 117",77,2022-12-31,51,3,3,,0.0,0,0,1.0,0.0,АПРЕЛЕВКА С2,info@bg.msk.ru,+7 (495) 023-11-11
33095,"ЖК ""Борисоглебское"" Сиреневый Березовый Рябиновый кварталы","д Зверево, д. 1",77,2022-12-31,75,3,3,,0.0,0,0,1.0,0.0,АПРЕЛЕВКА С2,info@bg.msk.ru,+7 (495) 023-11-11
33167,"Березовый квартал, дом 73","д Зверево, д. 73",77,2022-12-31,78,3,3,,0.0,0,0,0.0,0.0,АПРЕЛЕВКА С2,info@bg.msk.ru,+7 (495) 023-11-11
33164,"Березовый квартал, дом 70","д Зверево, д. 70",77,2022-12-31,78,3,3,,0.0,0,0,0.0,0.0,АПРЕЛЕВКА С2,info@bg.msk.ru,+7 (495) 023-11-11
33235,,"д Зверево, д. Многофункциональный торгово-развлекательный комплекс",77,2025-12-31,0,2,2,,0.0,0,0,0.0,0.0,АПРЕЛЕВКА С2,info@bg.msk.ru,+7 (495) 023-11-11
33097,"Сиреневый квартал, дом 3","д Зверево, д. 3",77,2022-12-31,99,3,3,,0.0,0,1,0.0,0.0,АПРЕЛЕВКА С2,info@bg.msk.ru,+7 (495) 023-11-11
33200,"Рябиновый квартал, дом 106","д Зверево, д. 106",77,2022-12-31,39,3,3,,0.0,0,0,0.0,0.0,АПРЕЛЕВКА С2,info@bg.msk.ru,+7 (495) 023-11-11
